normalized_form	collision_description
21q2213q222microdeletionsyndrome	MONDO_0017056[hasExactSynonym=21q22.13-q22.2 microdeletion syndrome] | MONDO_0017056[hasExactSynonym=21q22.13q22.2 microdeletion syndrome] | Orphanet_268261[hasExactSynonym=21q22.13-q22.2 microdeletion syndrome] | Orphanet_268261[label=21q22.13q22.2 microdeletion syndrome]
22q112microduplicationsyndrome	MONDO_0012020[hasExactSynonym=22q11.2 microduplication syndrome] | Orphanet_1727[label=22q11.2 microduplication syndrome]
2asyndrome	MONDO_0009279[hasExactSynonym=2A syndrome] | Orphanet_869[hasExactSynonym=2A syndrome]
2hydroxybutyricacid	CHEBI_1148[label=2-hydroxybutyric acid] | EFO_0010458[hasExactSynonym=2-hydroxybutyric acid]
2methyl3hydroxybutyricaciduria	MONDO_0010327[hasExactSynonym=2-methyl-3-hydroxybutyric aciduria] | Orphanet_391417[hasExactSynonym=2-methyl-3-hydroxybutyric aciduria]
2methyl3hydroxybutyrylcoadehydrogenasedeficiency	MONDO_0010327[hasExactSynonym=2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency] | Orphanet_391417[hasExactSynonym=2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency]
2methylacylcoaracemasedeficiency	MONDO_0008967[hasExactSynonym=2-methylacyl-CoA racemase deficiency] | Orphanet_79095[hasExactSynonym=2-methylacyl-CoA racemase deficiency]
33hydroxyphenylpropionatemeasurement	EFO_0021007[label=3-3-hydroxyphenylpropionate measurement] | EFO_0800952[label=3-(3-hydroxyphenyl)propionate measurement]
3asyndrome	MONDO_0009279[hasExactSynonym=3A syndrome] | Orphanet_869[hasExactSynonym=3A syndrome]
3csyndrome	MONDO_0019078[hasExactSynonym=3C syndrome] | Orphanet_7[label=3C syndrome]
3hydroxyanthranilate34dioxygenasemeasurement	EFO_0021862[label=3-hydroxyanthranilate 3,4-dioxygenase measurement] | EFO_0021997[label=3-hydroxyanthranilate 3;4-dioxygenase measurement]
3indoxylsulfatemeasurement	EFO_0010985[label=3-Indoxylsulfate measurement] | EFO_0022088[label=3-indoxyl sulfate measurement]
3methylcrotonylglycinuria	MONDO_0018950[hasExactSynonym=3-methylcrotonylglycinuria] | Orphanet_6[hasExactSynonym=3-methylcrotonylglycinuria]
3methylglutaconicaciduriatype5	MONDO_0012435[hasExactSynonym=3-methylglutaconic aciduria type 5] | MONDO_0012435[label=3-methylglutaconic aciduria type 5] | Orphanet_66634[hasExactSynonym=3-methylglutaconic aciduria type 5]
3methylglutaconicaciduriatype7	MONDO_0014561[hasExactSynonym=3-methylglutaconic aciduria type 7] | EFO_0009014[hasExactSynonym=3-methylglutaconic aciduria type 7]
3methylglutaconicaciduriatypevii	MONDO_0014561[hasExactSynonym=3-methylglutaconic aciduria type VII] | EFO_0009014[hasExactSynonym=3-methylglutaconic aciduria type VII]
3methylglutaconicaciduriawithcataractsneurologicinvolvementandneutropenia	MONDO_0014561[hasExactSynonym=3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia] | EFO_0009014[label=3-methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia]
3methylglutaconicaciduriawithdeafnessencephalopathyleighlikesyndrome	MONDO_0013875[hasExactSynonym=3-methylglutaconic aciduria with deafness-encephalopathy-Leigh-like syndrome] | Orphanet_352328[hasExactSynonym=3-methylglutaconic aciduria with deafness - encephalopathy - Leigh-like syndrome]
3msyndrome	MONDO_0007477[hasExactSynonym=3-M syndrome] | MONDO_0007477[label=3-M syndrome] | Orphanet_2616[hasExactSynonym=3-M syndrome] | Orphanet_2616[label=3M syndrome]
3phosphoglycericacid	CHEBI_17050[label=3-phosphoglyceric acid] | EFO_0010450[label=3-phosphoglyceric acid]
3q29microdeletionsyndrome	MONDO_0012269[hasExactSynonym=3q29 microdeletion syndrome] | Orphanet_65286[label=3q29 microdeletion syndrome]
3q29microduplication	MONDO_0012761[hasExactSynonym=3q29 microduplication] | Orphanet_251038[label=3q29 microduplication]
3qsubtelomeredeletionsyndrome	MONDO_0012269[hasExactSynonym=3q subtelomere deletion syndrome] | Orphanet_65286[hasExactSynonym=3q subtelomere deletion syndrome]
3qterdeletion	MONDO_0012269[hasExactSynonym=3qter deletion] | Orphanet_65286[hasExactSynonym=3qter deletion]
3seq	EFO_0008643[label=3′-Seq] | EFO_0008645[hasExactSynonym=3Seq] | EFO_0008645[label=3-Seq]
46xxcompletegonadaldysgenesis	MONDO_0009299[hasExactSynonym=46,XX complete gonadal dysgenesis] | Orphanet_243[hasExactSynonym=46,XX complete gonadal dysgenesis]
46xxgonadaldysgenesis	MONDO_0009299[hasExactSynonym=46,XX gonadal dysgenesis] | MONDO_0009299[label=46 XX gonadal dysgenesis] | Orphanet_243[label=46,XX gonadal dysgenesis]
46xxovariandysgenesis	MONDO_0009299[hasExactSynonym=46,XX ovarian dysgenesis] | Orphanet_243[hasExactSynonym=46,XX ovarian dysgenesis]
46xxpuregonadaldysgenesis	MONDO_0009299[hasExactSynonym=46,XX pure gonadal dysgenesis] | Orphanet_243[hasExactSynonym=46,XX pure gonadal dysgenesis]
46xydisorderofsexdevelopmentduetolhbdeficiency	MONDO_0009223[hasExactSynonym=46,XY disorder of sex development due to LHB deficiency] | Orphanet_325448[hasExactSynonym=46,XY disorder of sex development due to LHB deficiency]
46xydisorderofsexdevelopmentduetoluteinizinghormonesubunitbetadeficiency	MONDO_0009223[hasExactSynonym=46,XY disorder of sex development due to luteinizing hormone subunit beta deficiency] | Orphanet_325448[hasExactSynonym=46,XY disorder of sex development due to luteinizing hormone subunit beta deficiency]
46xydsdduetolhbdeficiency	MONDO_0009223[hasExactSynonym=46,XY DSD due to LHB deficiency] | Orphanet_325448[hasExactSynonym=46,XY DSD due to LHB deficiency]
46xydsdduetoluteinizinghormonesubunitbetadeficiency	MONDO_0009223[hasExactSynonym=46,XY DSD due to luteinizing hormone subunit beta deficiency] | Orphanet_325448[hasExactSynonym=46,XY DSD due to luteinizing hormone subunit beta deficiency]
4asyndrome	MONDO_0009279[hasExactSynonym=4A syndrome] | Orphanet_869[hasExactSynonym=4A syndrome]
4hsyndrome	MONDO_0011897[hasExactSynonym=4H syndrome] | EFO_0700106[hasExactSynonym=4H syndrome] | Orphanet_88637[hasExactSynonym=4H syndrome]
4q21microdeletionsyndrome	MONDO_0013292[hasExactSynonym=4q21 microdeletion syndrome] | Orphanet_238750[label=4q21 microdeletion syndrome]
56kdaseleniumbindingprotein	PR_000014606[hasExactSynonym=56 kDa selenium-binding protein] | PR_000050062[label=56kDa selenium binding protein]
5methyltetrahydrofolate	CHEBI_20612[label=5-methyltetrahydrofolate] | EFO_0801105[hasExactSynonym=5-methyltetrahydrofolate]
5p13microduplicationsyndrome	MONDO_0013169[hasExactSynonym=5p13 microduplication syndrome] | Orphanet_329802[label=5p13 microduplication syndrome]
6pyruvoyltetrahydropterinsynthasedeficiency	MONDO_0009863[hasExactSynonym=6-pyruvoyl tetrahydropterin synthase deficiency] | MONDO_0009863[hasExactSynonym=6-pyruvoyl-tetrahydropterin synthase deficiency] | Orphanet_13[label=6-pyruvoyl-tetrahydropterin synthase deficiency]
8q2111microdeletionsyndrome	MONDO_0013646[hasExactSynonym=8q21.11 microdeletion syndrome] | Orphanet_284160[label=8q21.11 microdeletion syndrome]
9pdeletionsyndrome	MONDO_0008013[hasExactSynonym=9p deletion syndrome] | Orphanet_261112[hasExactSynonym=9p deletion syndrome]
9psyndrome	MONDO_0008013[hasExactSynonym=9p syndrome] | MONDO_0008013[hasExactSynonym=9p- syndrome] | Orphanet_261112[hasExactSynonym=9p- syndrome]
9qsubtelomericdeletionsyndrome	MONDO_0012455[hasExactSynonym=9Q subtelomeric deletion syndrome] | MONDO_0019896[hasExactSynonym=9q subtelomeric deletion syndrome]
a	UO_0000011[hasExactSynonym=A] | EFO_0001327[hasExactSynonym=A]
aaasyndrome	MONDO_0009279[hasExactSynonym=AAA syndrome] | Orphanet_869[hasExactSynonym=AAA syndrome]
aadathuman	PR_Q8N5Z0[hasExactSynonym=AadAT (human)] | gene_symbol_report?hgnc_id=17929[label=AADAT (human)]
aagenaessyndrome	MONDO_0008966[hasExactSynonym=Aagenaes syndrome] | MONDO_0008966[label=Aagenaes syndrome] | Orphanet_1414[hasExactSynonym=Aagenaes syndrome]
aarskoglikesyndrome	MONDO_0009209[hasExactSynonym=Aarskog-like syndrome] | Orphanet_1974[hasExactSynonym=Aarskog-like syndrome]
aasesmithiisyndrome	MONDO_0015253[hasExactSynonym=Aase-Smith II syndrome] | Orphanet_124[hasExactSynonym=Aase-Smith II syndrome]
aasesyndrome	MONDO_0015253[hasExactSynonym=Aase syndrome] | Orphanet_124[hasExactSynonym=Aase syndrome]
ablim3human	PR_O94929[hasExactSynonym=abLIM-3 (human)] | gene_symbol_report?hgnc_id=29132[label=ABLIM3 (human)]
absd	MONDO_0011099[hasExactSynonym=ABSD] | Orphanet_69739[hasExactSynonym=ABSD]
absentsmallkidney	HP_0008678[hasExactSynonym=Absent/small kidney] | MONDO_0018470[hasExactSynonym=absent/small kidney]
absentunderdevelopedkidney	HP_0008678[hasExactSynonym=Absent/underdeveloped kidney] | MONDO_0018470[hasExactSynonym=absent/underdeveloped kidney]
acad8human	PR_Q9UKU7[hasExactSynonym=ACAD-8 (human)] | gene_symbol_report?hgnc_id=87[label=ACAD8 (human)]
acdmpv	MONDO_0009934[hasExactSynonym=ACDMPV] | Orphanet_210122[hasExactSynonym=ACDMPV]
acfs	MONDO_0010890[hasExactSynonym=ACFS] | Orphanet_2008[hasExactSynonym=ACFS]
achalasiaaddisonianismalacrimasyndrome	MONDO_0009279[hasExactSynonym=achalasia-addisonianism-alacrima syndrome] | Orphanet_869[hasExactSynonym=Achalasia - addisonianism - alacrima syndrome]
achalasiamicrocephaly	MONDO_0008699[hasExactSynonym=achalasia microcephaly] | Orphanet_929[label=Achalasia - microcephaly]
achehuman	PR_P22303[hasExactSynonym=AChE (human)] | gene_symbol_report?hgnc_id=108[label=ACHE (human)]
acheiropodia	MONDO_0008700[hasExactSynonym=acheiropodia] | Orphanet_931[hasExactSynonym=acheiropodia] | Orphanet_931[label=Acheiropodia]
acheiropody	MONDO_0008700[hasExactSynonym=acheiropody] | MONDO_0008700[label=acheiropody] | Orphanet_931[hasExactSynonym=Acheiropody] | Orphanet_931[hasExactSynonym=acheiropody]
achondrogenesishoustonharristype	MONDO_0008701[hasExactSynonym=achondrogenesis Houston-Harris type] | MONDO_0008701[hasExactSynonym=achondrogenesis, Houston-Harris type] | Orphanet_93299[hasExactSynonym=Achondrogenesis, Houston-Harris type]
achondrogenesislangersaldinotype	MONDO_0008702[hasExactSynonym=achondrogenesis, Langer-Saldino type] | Orphanet_93296[hasExactSynonym=Achondrogenesis, Langer-Saldino type]
achondrogenesisparentifraccarotype	MONDO_0010966[hasExactSynonym=achondrogenesis, Parenti-Fraccaro type] | Orphanet_93298[hasExactSynonym=Achondrogenesis, Parenti-Fraccaro type]
acidbetaglucosidasedeficiency	MONDO_0009265[hasExactSynonym=acid Beta-glucosidase deficiency] | MONDO_0018150[hasExactSynonym=acid beta-glucosidase deficiency]
acidosis	HP_0001941[label=Acidosis] | EFO_1000014[hasExactSynonym=acidosis] | EFO_1000014[label=acidosis]
acidphosphatasedeficiency	MONDO_0008705[hasExactSynonym=acid phosphatase deficiency] | Orphanet_35121[label=Acid phosphatase deficiency]
acousticneuroma	HP_0009588[hasExactSynonym=Acoustic Neuroma] | MONDO_0001569[hasExactSynonym=acoustic neuroma] | MONDO_0001569[label=acoustic neuroma] | EFO_0000693[hasExactSynonym=Acoustic neuroma]
acquiredhbhdisease	MONDO_0010328[hasExactSynonym=acquired HbH disease] | Orphanet_231401[hasExactSynonym=Acquired HbH disease]
acquiredhemoglobinhdisease	MONDO_0010328[hasExactSynonym=acquired hemoglobin H disease] | Orphanet_231401[hasExactSynonym=Acquired hemoglobin H disease]
acrocardiofacialsyndrome	MONDO_0010890[hasExactSynonym=acrocardiofacial syndrome] | MONDO_0010890[label=acrocardiofacial syndrome] | Orphanet_2008[label=Acro-cardio-facial syndrome]
acrofacialdysostosisrodrigueztype	MONDO_0008714[label=acrofacial dysostosis Rodriguez type] | Orphanet_1788[label=Acrofacial dysostosis, Rodríguez type]
acrofrontofacionasaldysostosis	MONDO_0008715[label=acrofrontofacionasal dysostosis] | Orphanet_1784[label=Acro-fronto-facio-nasal dysostosis]
acrofrontofacionasaldysostosistype2	MONDO_0009402[hasExactSynonym=acrofrontofacionasal dysostosis type 2] | Orphanet_2211[hasExactSynonym=Acro-fronto-facio-nasal dysostosis type 2]
acrofrontofacionasalsyndrometype2	MONDO_0009402[hasExactSynonym=acrofrontofacionasal syndrome type 2] | Orphanet_2211[hasExactSynonym=Acro-fronto-facio-nasal syndrome type 2]
acrokeratosisofbazex	MONDO_0010535[hasExactSynonym=acrokeratosis of Bazex] | Orphanet_166113[hasExactSynonym=Acrokeratosis of Bazex]
acrokeratosisparaneoplastica	MONDO_0010535[hasExactSynonym=acrokeratosis paraneoplastica] | Orphanet_166113[hasExactSynonym=Acrokeratosis paraneoplastica]
acromesomelicdwarfism	MONDO_0008717[hasExactSynonym=acromesomelic dwarfism] | Orphanet_968[hasExactSynonym=Acromesomelic dwarfism]
acromesomelicdysplasiagrebetype	MONDO_0008703[hasExactSynonym=acromesomelic dysplasia, Grebe type] | Orphanet_2098[label=Acromesomelic dysplasia, Grebe type]
acromesomelicdysplasiamaroteauxtype	MONDO_0011275[hasExactSynonym=acromesomelic dysplasia, Maroteaux type] | Orphanet_40[label=Acromesomelic dysplasia, Maroteaux type]
acrootoocularsyndrome	MONDO_0009920[hasExactSynonym=acrootoocular syndrome] | MONDO_0009920[label=Acrootoocular syndrome] | Orphanet_2980[label=Acro-oto-ocular syndrome]
acropectoralsyndrome	MONDO_0011621[hasExactSynonym=acropectoral syndrome] | MONDO_0011621[label=acropectoral syndrome] | Orphanet_85203[label=Acro-pectoral syndrome]
acropectororenaldysplasia	MONDO_0019840[label=acropectororenal dysplasia] | Orphanet_956[label=Acro-pectoro-renal dysplasia]
acrpsyndrome	MONDO_0011621[hasExactSynonym=ACRP syndrome] | Orphanet_85203[hasExactSynonym=ACRP syndrome]
acs	MONDO_0008708[hasExactSynonym=ACS] | MONDO_0019796[hasExactSynonym=ACS] | EFO_0007129[hasExactSynonym=ACS]
actinomycoticinfection	EFO_0007128[hasExactSynonym=actinomycotic infection] | EFO_1001122[hasExactSynonym=actinomycotic infection]
actionmyoclonusrenalfailuresyndrome	MONDO_0009699[hasExactSynonym=action myoclonus-renal failure syndrome] | MONDO_0009699[label=action myoclonus-renal failure syndrome] | Orphanet_163696[label=Action myoclonus - renal failure syndrome]
acuteepiglottitis	MONDO_0041366[hasExactSynonym=acute epiglottitis] | MONDO_0041366[label=acute epiglottitis] | EFO_0007261[hasExactSynonym=acute epiglottitis]
acuteerythroblasticleukemia	EFO_0000218[hasExactSynonym=acute erythroblastic leukemia] | EFO_1001257[label=acute erythroblastic leukemia]
acutegraftvshostdisease	MONDO_0020546[hasExactSynonym=acute graft vs. host disease] | EFO_0004599[label=acute graft vs. host disease]
acutehepaticfailure	HP_0006554[label=Acute hepatic failure] | MONDO_0019542[hasExactSynonym=acute hepatic failure]
acutehepaticporphyria	MONDO_0013000[hasExactSynonym=acute hepatic porphyria] | Orphanet_95157[label=Acute hepatic porphyria]
acutekidneyfailure	HP_0001919[hasExactSynonym=Acute kidney failure] | MONDO_0002492[hasExactSynonym=acute kidney failure]
acutekidneyinjury	HP_0001919[label=Acute kidney injury] | MONDO_0002492[label=acute kidney injury]
acuteliverfailure	HP_0006554[hasExactSynonym=Acute liver failure] | MONDO_0019542[label=acute liver failure]
acutemonocyticleukemia	HP_0004845[label=Acute monocytic leukemia] | EFO_0000221[hasExactSynonym=acute monocytic leukemia] | EFO_0000221[label=acute monocytic leukemia] | EFO_1001933[hasExactSynonym=acute monocytic leukemia]
acutemyeloidleukemiaaml	EFO_0000222[hasExactSynonym=acute myeloid leukemia (AML)] | EFO_0000330[hasExactSynonym=acute myeloid leukemia (AML)]
acuteneuronopathicgaucherdisease	MONDO_0009266[hasExactSynonym=acute neuronopathic Gaucher disease] | Orphanet_77260[hasExactSynonym=Acute neuronopathic Gaucher disease]
acuteotitismedia	HP_0000371[label=Acute otitis media] | MONDO_0024330[hasExactSynonym=acute otitis Media]
acutepancreatitis	HP_0001735[label=Acute pancreatitis] | EFO_1000652[hasExactSynonym=acute pancreatitis] | EFO_1000652[label=acute pancreatitis]
acuterenalfailure	HP_0001919[hasExactSynonym=Acute renal failure] | MONDO_0002492[hasExactSynonym=acute renal failure]
acy1d	EFO_1001981[hasExactSynonym=ACY1D] | Orphanet_137754[hasExactSynonym=ACY1D]
acy1human	PR_Q03154[hasExactSynonym=ACY-1 (human)] | gene_symbol_report?hgnc_id=177[label=ACY1 (human)]
acy3human	PR_Q96HD9[hasExactSynonym=ACY-3 (human)] | gene_symbol_report?hgnc_id=24104[label=ACY3 (human)]
ada	MONDO_0007064[hasExactSynonym=ADA] | PR_000003707[hasExactSynonym=ADA] | EFO_0010761[hasExactSynonym=ADA]
ada2deficiency	MONDO_0014306[hasExactSynonym=ADA2 deficiency] | EFO_0009295[hasExactSynonym=ADA2 deficiency]
adadeficiency	MONDO_0007064[hasExactSynonym=ADA deficiency] | Orphanet_277[hasExactSynonym=ADA deficiency]
adam10human	PR_O14672[hasExactSynonym=ADAM 10 (human)] | gene_symbol_report?hgnc_id=188[label=ADAM10 (human)]
adam11human	PR_O75078[hasExactSynonym=ADAM 11 (human)] | gene_symbol_report?hgnc_id=189[label=ADAM11 (human)]
adam12human	PR_O43184[hasExactSynonym=ADAM 12 (human)] | gene_symbol_report?hgnc_id=190[label=ADAM12 (human)]
adam15human	PR_Q13444[hasExactSynonym=ADAM 15 (human)] | gene_symbol_report?hgnc_id=193[label=ADAM15 (human)]
adam17human	PR_P78536[hasExactSynonym=ADAM 17 (human)] | gene_symbol_report?hgnc_id=195[label=ADAM17 (human)]
adam19human	PR_Q9H013[hasExactSynonym=ADAM 19 (human)] | gene_symbol_report?hgnc_id=197[label=ADAM19 (human)]
adam22human	PR_Q9P0K1[hasExactSynonym=ADAM 22 (human)] | gene_symbol_report?hgnc_id=201[label=ADAM22 (human)]
adam23human	PR_O75077[hasExactSynonym=ADAM 23 (human)] | gene_symbol_report?hgnc_id=202[label=ADAM23 (human)]
adam28human	PR_Q9UKQ2[hasExactSynonym=ADAM 28 (human)] | gene_symbol_report?hgnc_id=206[label=ADAM28 (human)]
adam29human	PR_Q9UKF5[hasExactSynonym=ADAM 29 (human)] | gene_symbol_report?hgnc_id=207[label=ADAM29 (human)]
adam30human	PR_Q9UKF2[hasExactSynonym=ADAM 30 (human)] | gene_symbol_report?hgnc_id=208[label=ADAM30 (human)]
adam32human	PR_Q8TC27[hasExactSynonym=ADAM 32 (human)] | gene_symbol_report?hgnc_id=15479[label=ADAM32 (human)]
adam7human	PR_Q9H2U9[hasExactSynonym=ADAM 7 (human)] | gene_symbol_report?hgnc_id=214[label=ADAM7 (human)]
adam8human	PR_P78325[hasExactSynonym=ADAM 8 (human)] | gene_symbol_report?hgnc_id=215[label=ADAM8 (human)]
adam9human	PR_Q13443[hasExactSynonym=ADAM 9 (human)] | gene_symbol_report?hgnc_id=216[label=ADAM9 (human)]
adamantinomatouscraniopharyngioma	MONDO_0002787[hasExactSynonym=adamantinomatous craniopharyngioma] | EFO_1000069[label=Adamantinomatous Craniopharyngioma]
adamdec1human	PR_O15204[label=ADAM DEC1 (human)] | gene_symbol_report?hgnc_id=16299[label=ADAMDEC1 (human)]
adamsyndrome	MONDO_0015167[hasExactSynonym=Adam syndrome] | Orphanet_1034[hasExactSynonym=ADAM syndrome]
adamts13human	PR_Q76LX8[hasExactSynonym=ADAM-TS 13 (human)] | PR_Q76LX8[hasExactSynonym=ADAM-TS13 (human)] | PR_Q76LX8[hasExactSynonym=ADAMTS-13 (human)] | gene_symbol_report?hgnc_id=1366[label=ADAMTS13 (human)]
adamts13measurement	EFO_0008011[hasExactSynonym=ADAMTS-13 measurement] | EFO_0009269[label=ADAMTS13 measurement]
adamts15human	PR_Q8TE58[hasExactSynonym=ADAM-TS 15 (human)] | PR_Q8TE58[hasExactSynonym=ADAM-TS15 (human)] | PR_Q8TE58[hasExactSynonym=ADAMTS-15 (human)] | gene_symbol_report?hgnc_id=16305[label=ADAMTS15 (human)]
adamts1human	PR_Q9UHI8[hasExactSynonym=ADAM-TS 1 (human)] | PR_Q9UHI8[hasExactSynonym=ADAM-TS1 (human)] | PR_Q9UHI8[hasExactSynonym=ADAMTS-1 (human)] | gene_symbol_report?hgnc_id=217[label=ADAMTS1 (human)]
adamts3human	PR_O15072[hasExactSynonym=ADAM-TS 3 (human)] | PR_O15072[hasExactSynonym=ADAM-TS3 (human)] | PR_O15072[hasExactSynonym=ADAMTS-3 (human)] | gene_symbol_report?hgnc_id=219[label=ADAMTS3 (human)]
adamts4human	PR_O75173[hasExactSynonym=ADAM-TS 4 (human)] | PR_O75173[hasExactSynonym=ADAM-TS4 (human)] | PR_O75173[hasExactSynonym=ADAMTS-4 (human)] | gene_symbol_report?hgnc_id=220[label=ADAMTS4 (human)]
adamts5human	PR_Q9UNA0[hasExactSynonym=ADAM-TS 5 (human)] | PR_Q9UNA0[hasExactSynonym=ADAM-TS5 (human)] | PR_Q9UNA0[hasExactSynonym=ADAMTS-5 (human)] | gene_symbol_report?hgnc_id=221[label=ADAMTS5 (human)]
adamts6human	PR_Q9UKP5[hasExactSynonym=ADAM-TS 6 (human)] | PR_Q9UKP5[hasExactSynonym=ADAM-TS6 (human)] | PR_Q9UKP5[hasExactSynonym=ADAMTS-6 (human)] | gene_symbol_report?hgnc_id=222[label=ADAMTS6 (human)]
adamtsl1human	PR_Q8N6G6[hasExactSynonym=ADAMTSL-1 (human)] | gene_symbol_report?hgnc_id=14632[label=ADAMTSL1 (human)]
adamtsl2human	PR_Q86TH1[hasExactSynonym=ADAMTSL-2 (human)] | gene_symbol_report?hgnc_id=14631[label=ADAMTSL2 (human)]
adca1	MONDO_0019792[hasExactSynonym=ADCA1] | Orphanet_94145[hasExactSynonym=ADCA1]
adca2	MONDO_0016163[hasExactSynonym=ADCA2] | Orphanet_208508[hasExactSynonym=ADCA2]
adca3	MONDO_0019793[hasExactSynonym=ADCA3] | Orphanet_94148[hasExactSynonym=ADCA3]
adca4	MONDO_0019794[hasExactSynonym=ADCA4] | Orphanet_94149[hasExactSynonym=ADCA4]
adcai	MONDO_0019792[hasExactSynonym=ADCAI] | Orphanet_94145[hasExactSynonym=ADCAI]
adcaii	MONDO_0016163[hasExactSynonym=ADCAII] | Orphanet_208508[hasExactSynonym=ADCAII]
adcaiii	MONDO_0019793[hasExactSynonym=ADCAIII] | Orphanet_94148[hasExactSynonym=ADCAIII]
adcaiv	MONDO_0019794[hasExactSynonym=ADCAIV] | Orphanet_94149[hasExactSynonym=ADCAIV]
adenoidcysticcarcinoma	EFO_0000231[hasExactSynonym=adenoid cystic carcinoma] | EFO_0000231[label=adenoid cystic carcinoma] | EFO_1000796[hasExactSynonym=Adenoid Cystic Carcinoma]
adenomatouspolyposiscoli	MONDO_0021055[hasExactSynonym=adenomatous polyposis coli] | Orphanet_733[hasExactSynonym=adenomatous polyposis coli]
adenomatouspolyposisofthecolon	MONDO_0021055[hasExactSynonym=adenomatous polyposis of the colon] | Orphanet_733[hasExactSynonym=adenomatous polyposis of the colon]
adenosine35phosphate	CHEBI_17489[hasExactSynonym=Adenosine 3',5'-phosphate] | CHEBI_58165[hasExactSynonym=adenosine 3',5'-phosphate]
adhies	MONDO_0007818[hasExactSynonym=AD-HIES] | Orphanet_2314[hasExactSynonym=AD-HIES]
admerf	MONDO_0011362[hasExactSynonym=ADMERF] | Orphanet_178464[hasExactSynonym=ADMERF]
